108,138,FURTO - OUTROS,Capital,087 DP - Vila Pereira Barreto,CAPITAL,São Paulo
102,138,FURTO - OUTROS,Capital,089 DP - Portal do Morumbi,CAPITAL,São Paulo
130,138,ROUBO - OUTROS,Capital,009 DP - Carandiru,CAPITAL,São Paulo
130,137,FURTO - OUTROS,Capital,021 DP - Vila Matilde,CAPITAL,São Paulo
165,137,ROUBO - OUTROS,Capital,049 DP - São Mateus,CAPITAL,São Paulo
134,136,FURTO - OUTROS,Interior,004 DP - São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
108,134,FURTO - OUTROS,Capital,025 DP - Parelheiros,CAPITAL,São Paulo
235,134,FURTO - OUTROS,Capital,049 DP - São Mateus,CAPITAL,São Paulo
133,132,ROUBO - OUTROS,Capital,035 DP - Jabaquara,CAPITAL,São Paulo
163,131,ROUBO - OUTROS,Capital,016 DP - Vila Clementino,CAPITAL,São Paulo
152,130,FURTO - OUTROS,Capital,068 DP - Lajeado,CAPITAL,São Paulo
120,130,FURTO - OUTROS,Capital,041 DP - Vila Rica,CAPITAL,São Paulo
140,130,FURTO - OUTROS,Capital,053 DP - Parque do Carmo,CAPITAL,São Paulo
116,128,FURTO - OUTROS,Capital,032 DP - Itaquera,CAPITAL,São Paulo
141,127,FURTO - OUTROS,Grande São Paulo (exclui Capital),002 DP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
140,127,FURTO - OUTROS,Grande São Paulo (exclui Capital),004 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
105,127,FURTO - OUTROS,Grande São Paulo (exclui Capital),001 DP - S. Caetano do Sul,Grande São Paulo (exclui a Capital),São Caetano do Sul
103,126,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Cotia,Grande São Paulo (exclui a Capital),Cotia
151,126,FURTO - OUTROS,Grande São Paulo (exclui Capital),009 DP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
179,125,ROUBO - OUTROS,Capital,085 DP - Jardim Mirna,CAPITAL,São Paulo
84,124,FURTO - OUTROS,Interior,003 DP - Sorocaba,Sorocaba,Sorocaba
96,121,FURTO - OUTROS,Capital,090 DP - Parque Novo Mundo,CAPITAL,São Paulo
106,120,FURTO - OUTROS,Capital,048 DP - Cidade Dutra,CAPITAL,São Paulo
214,120,FURTO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Mogi das Cruzes,Grande São Paulo (exclui a Capital),Mogi das Cruzes
83,119,FURTO - OUTROS,Capital,081 DP - Belém,CAPITAL,São Paulo
120,119,FURTO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Diadema,Grande São Paulo (exclui a Capital),Diadema
134,118,FURTO - OUTROS,Capital,019 DP - Vila Maria,CAPITAL,São Paulo
102,118,FURTO - OUTROS,Interior,007 DP - Campinas,Campinas,Campinas
125,117,FURTO - OUTROS,Interior,001 DP - São Jose dos Campos,São José dos Campos,São José dos Campos
125,116,ROUBO - OUTROS,Capital,054 DP - Cidade Tiradentes,CAPITAL,São Paulo
104,115,FURTO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Carapicuiba,Grande São Paulo (exclui a Capital),Carapicuíba
217,115,ROUBO - OUTROS,Capital,096 DP - Monções,CAPITAL,São Paulo
184,114,ROUBO - OUTROS,Capital,015 DP - Itaim Bibi,CAPITAL,São Paulo
106,114,ROUBO - OUTROS,Capital,051 DP - Butantã,CAPITAL,São Paulo
143,113,FURTO - OUTROS,Capital,062 DP - Ermelino Matarazzo,CAPITAL,São Paulo
113,113,FURTO - OUTROS,Interior,004 DP - Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
105,113,ROUBO - OUTROS,Capital,007 DP - Lapa,CAPITAL,São Paulo
127,112,FURTO - OUTROS,Capital,044 DP - Guaianazes,CAPITAL,São Paulo
113,112,FURTO - OUTROS,Grande São Paulo (exclui Capital),006 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
128,111,FURTO - OUTROS,Interior,005 DP - Campinas,Campinas,Campinas
112,111,FURTO - OUTROS,Interior,009 DP - Campinas,Campinas,Campinas
131,111,FURTO - OUTROS,Interior,003 DP - São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
90,111,ROUBO - OUTROS,Grande São Paulo (exclui Capital),002 DP - Taboão da Serra,Grande São Paulo (exclui a Capital),Taboão da Serra
88,110,FURTO - OUTROS,Capital,080 DP - Vila Joaniza,CAPITAL,São Paulo
156,110,ROUBO - OUTROS,Grande São Paulo (exclui Capital),006 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
126,109,FURTO - OUTROS,Interior,DM - São Vicente,Santos,São Vicente
114,108,FURTO - OUTROS,Capital,097 DP - Americanópolis,CAPITAL,São Paulo
114,108,FURTO - OUTROS,Interior,002 DP - Campinas,Campinas,Campinas
115,107,ROUBO - OUTROS,Capital,077 DP - Santa Cecília,CAPITAL,São Paulo
146,107,ROUBO - OUTROS,Capital,027 DP - Campo Belo,CAPITAL,São Paulo
144,107,ROUBO - OUTROS,Capital,050 DP - Itaim Paulista,CAPITAL,São Paulo
71,107,ROUBO - OUTROS,Grande São Paulo (exclui Capital),DM - Francisco Morato,Grande São Paulo (exclui a Capital),Francisco Morato
108,106,FURTO - OUTROS,Capital,069 DP - Teotônio Vilela,CAPITAL,São Paulo
88,106,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Barueri,Grande São Paulo (exclui a Capital),Barueri
89,105,FURTO - OUTROS,Capital,045 DP - Vila Brasilândia,CAPITAL,São Paulo
106,105,FURTO - OUTROS,Grande São Paulo (exclui Capital),002 DP - Mogi das Cruzes,Grande São Paulo (exclui a Capital),Mogi das Cruzes
120,105,ROUBO - OUTROS,Capital,073 DP - Jaçanã,CAPITAL,São Paulo
119,104,FURTO - OUTROS,Capital,018 DP - Alto da Moóca,CAPITAL,São Paulo
128,104,FURTO - OUTROS,Interior,003 DP - Bauru,Bauru,Bauru
83,104,FURTO - OUTROS,Interior,DM - Peruíbe,Santos,Peruíbe
73,104,ROUBO - OUTROS,Capital,013 DP - Casa Verde,CAPITAL,São Paulo
57,103,FURTO - OUTROS,Interior,003 DP - Araraquara,Ribeirão Preto,Araraquara
77,101,FURTO - OUTROS,Capital,042 DP - Parque São Lucas,CAPITAL,São Paulo
110,101,FURTO - OUTROS,Grande São Paulo (exclui Capital),003 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
79,101,FURTO - OUTROS,Interior,005 DP - Santos,Santos,Santos
77,101,ROUBO - OUTROS,Capital,053 DP - Parque do Carmo,CAPITAL,São Paulo
193,101,ROUBO - OUTROS,Grande São Paulo (exclui Capital),DM - Itaquaquecetuba,Grande São Paulo (exclui a Capital),Itaquaquecetuba
82,100,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Francisco Morato,Grande São Paulo (exclui a Capital),Francisco Morato
94,100,FURTO - OUTROS,Interior,005 DP - Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
100,100,FURTO - OUTROS,Interior,001 DP - Bauru,Bauru,Bauru
84,100,ROUBO - OUTROS,Capital,017 DP - Ipiranga,CAPITAL,São Paulo
78,100,ROUBO - OUTROS,Capital,095 DP - Heliópolis,CAPITAL,São Paulo
